
-------------------------------------------------------------------------------
./eos/eosFPS,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
7.87287e+14 8.51816e-01 9.02177e-01 1.12084e+01 0.00000e+00 8.95745e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.35372e-01 1.35372e-01 1.35372e-01 0.00000e+00 2.70087e-01 1.00000e+00 8.95745e-01 8.95745e-01 3.12322e+00
8.28297e+14 9.11454e-01 9.70342e-01 1.11804e+01 0.00000e+00 9.30063e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.47493e-01 1.47493e-01 1.47493e-01 0.00000e+00 2.66752e-01 1.00000e+00 9.30063e-01 9.30063e-01 3.28785e+00
8.71444e+14 9.71217e-01 1.03932e+00 1.11533e+01 0.00000e+00 9.63577e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.60084e-01 1.60084e-01 1.60084e-01 0.00000e+00 2.63421e-01 1.00000e+00 9.63577e-01 9.63577e-01 3.45699e+00
9.16838e+14 1.03012e+00 1.10785e+00 1.11268e+01 0.00000e+00 9.95893e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.72963e-01 1.72963e-01 1.72963e-01 0.00000e+00 2.60135e-01 1.00000e+00 9.95893e-01 9.95893e-01 3.62862e+00
9.64597e+14 1.08865e+00 1.17671e+00 1.10978e+01 0.00000e+00 1.02780e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.86316e-01 1.86316e-01 1.86316e-01 0.00000e+00 2.56779e-01 1.00000e+00 1.02780e+00 1.02780e+00 3.80486e+00
1.01484e+15 1.14625e+00 1.24528e+00 1.10649e+01 0.00000e+00 1.05935e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.00097e-01 2.00097e-01 2.00097e-01 0.00000e+00 2.53336e-01 1.00000e+00 1.05935e+00 1.05935e+00 3.98507e+00
1.06771e+15 1.20281e+00 1.31351e+00 1.10280e+01 0.00000e+00 1.09062e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.14306e-01 2.14306e-01 2.14306e-01 0.00000e+00 2.49814e-01 1.00000e+00 1.09062e+00 1.09062e+00 4.16979e+00
1.12333e+15 1.25826e+00 1.38144e+00 1.09862e+01 0.00000e+00 1.12186e+00 0.00000e+00 0.00000e+00    ---     -2.39704e+04 -2.39704e+04 2.29000e-01 2.29000e-01 2.29000e-01 0.00000e+00 2.46184e-01 1.00000e+00 2.20333e+00 -1.22290e-02 5.98412e+01
1.18184e+15 1.31205e+00 1.44837e+00 1.09396e+01 0.00000e+00 1.15296e+00 0.00000e+00 0.00000e+00    ---     -2.35832e+04 -2.35832e+04 2.44078e-01 2.44078e-01 2.44078e-01 0.00000e+00 2.42474e-01 1.00000e+00 2.18648e+00 -1.27870e-02 6.06321e+01
1.24340e+15 1.36313e+00 1.51271e+00 1.08886e+01 0.00000e+00 1.18349e+00 0.00000e+00 0.00000e+00    ---     -2.31952e+04 -2.31952e+04 2.59281e-01 2.59281e-01 2.59281e-01 0.00000e+00 2.38747e-01 1.00000e+00 2.17070e+00 -1.33521e-02 6.13121e+01
1.30817e+15 1.41112e+00 1.57377e+00 1.08335e+01 0.00000e+00 1.21336e+00 0.00000e+00 0.00000e+00    ---     -2.28099e+04 -2.28099e+04 2.74481e-01 2.74481e-01 2.74481e-01 0.00000e+00 2.35036e-01 1.00000e+00 2.15614e+00 -1.39207e-02 6.18833e+01
