
-------------------------------------------------------------------------------
./eos/eosAPRfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
7.37517e+14 9.04714e-01 9.61373e-01 1.14213e+01 0.00000e+00 8.97439e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.42377e-01 1.42377e-01 1.42377e-01 0.00000e+00 2.73641e-01 1.00000e+00 8.97439e-01 8.97439e-01 3.28457e+00
7.73273e+14 9.78841e-01 1.04667e+00 1.14174e+01 0.00000e+00 9.33969e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.56993e-01 1.56993e-01 1.56993e-01 0.00000e+00 2.70329e-01 1.00000e+00 9.33969e-01 9.33969e-01 3.49446e+00
8.10762e+14 1.05467e+00 1.13496e+00 1.14157e+01 0.00000e+00 9.69695e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.72507e-01 1.72507e-01 1.72507e-01 0.00000e+00 2.66982e-01 1.00000e+00 9.69695e-01 9.69695e-01 3.71630e+00
8.50068e+14 1.13151e+00 1.22552e+00 1.14141e+01 0.00000e+00 1.00459e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.88882e-01 1.88882e-01 1.88882e-01 0.00000e+00 2.63574e-01 1.00000e+00 1.00459e+00 1.00459e+00 3.95005e+00
8.91281e+14 1.20975e+00 1.31917e+00 1.14096e+01 0.00000e+00 1.03936e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.06356e-01 2.06356e-01 2.06356e-01 0.00000e+00 2.59995e-01 1.00000e+00 1.03936e+00 1.03936e+00 4.19932e+00
9.34491e+14 1.28857e+00 1.41508e+00 1.14009e+01 0.00000e+00 1.07393e+00 0.00000e+00 0.00000e+00    ---     -2.49575e+04 -2.49575e+04 2.24891e-01 2.24891e-01 2.24891e-01 0.00000e+00 2.56244e-01 1.00000e+00 2.13015e+00 -1.16509e-02 6.17855e+01
9.79796e+14 1.36703e+00 1.51218e+00 1.13873e+01 0.00000e+00 1.10815e+00 0.00000e+00 0.00000e+00    ---     -2.45421e+04 -2.45421e+04 2.44399e-01 2.44399e-01 2.44399e-01 0.00000e+00 2.52339e-01 1.00000e+00 2.09999e+00 -1.22945e-02 6.31357e+01
1.02730e+15 1.44400e+00 1.60894e+00 1.13682e+01 0.00000e+00 1.14180e+00 0.00000e+00 0.00000e+00    ---     -2.41161e+04 -2.41161e+04 2.64708e-01 2.64708e-01 2.64708e-01 0.00000e+00 2.48323e-01 1.00000e+00 2.07035e+00 -1.29595e-02 6.43531e+01
1.07710e+15 1.51846e+00 1.70389e+00 1.13435e+01 0.00000e+00 1.17471e+00 0.00000e+00 0.00000e+00    ---     2.10643e+00 2.10643e+00 2.85633e-01 2.85633e-01 2.85633e-01 0.00000e+00 2.44233e-01 1.00000e+00 1.16085e+00 1.12634e+00 5.26094e+00
1.12932e+15 1.59007e+00 1.79663e+00 1.13124e+01 0.00000e+00 1.20703e+00 0.00000e+00 0.00000e+00    ---     2.77081e+00 2.77081e+00 3.07154e-01 3.07154e-01 3.07154e-01 0.00000e+00 2.40070e-01 1.00000e+00 1.18295e+00 1.14588e+00 5.50894e+00
1.18407e+15 1.65850e+00 1.88676e+00 1.12748e+01 0.00000e+00 1.23891e+00 0.00000e+00 0.00000e+00    ---     3.41375e+00 3.41375e+00 3.29246e-01 3.29246e-01 3.29246e-01 0.00000e+00 2.35838e-01 1.00000e+00 1.20213e+00 1.16646e+00 5.74596e+00
1.24148e+15 1.72321e+00 1.97340e+00 1.12307e+01 0.00000e+00 1.27029e+00 0.00000e+00 0.00000e+00    ---     4.03006e+00 4.03006e+00 3.51769e-01 3.51769e-01 3.51769e-01 0.00000e+00 2.31567e-01 1.00000e+00 1.21866e+00 1.18799e+00 5.97009e+00
1.30166e+15 1.78540e+00 2.05795e+00 1.11846e+01 0.00000e+00 1.30072e+00 0.00000e+00 0.00000e+00    ---     4.61930e+00 4.61930e+00 3.74619e-01 3.74619e-01 3.74619e-01 0.00000e+00 2.27370e-01 1.00000e+00 1.23236e+00 1.20993e+00 6.18259e+00
1.36477e+15 1.84127e+00 2.13527e+00 1.11275e+01 0.00000e+00 1.33113e+00 0.00000e+00 0.00000e+00    ---     5.17154e+00 5.17154e+00 3.97592e-01 3.97592e-01 3.97592e-01 0.00000e+00 2.23090e-01 1.00000e+00 1.24456e+00 1.23314e+00 6.37640e+00
1.43094e+15 1.89159e+00 2.20620e+00 1.10620e+01 0.00000e+00 1.36144e+00 0.00000e+00 0.00000e+00    ---     5.68870e+00 5.68870e+00 4.20686e-01 4.20686e-01 4.20686e-01 0.00000e+00 2.18782e-01 1.00000e+00 1.25535e+00 1.25741e+00 6.55321e+00
1.50031e+15 1.93984e+00 2.27498e+00 1.09983e+01 0.00000e+00 1.39045e+00 0.00000e+00 0.00000e+00    ---     6.17297e+00 6.17297e+00 4.43718e-01 4.43718e-01 4.43718e-01 0.00000e+00 2.14667e-01 1.00000e+00 1.26394e+00 1.28155e+00 6.71806e+00
1.57305e+15 1.98049e+00 2.33392e+00 1.09241e+01 0.00000e+00 1.41947e+00 0.00000e+00 0.00000e+00    ---     6.61199e+00 6.61199e+00 4.66329e-01 4.66329e-01 4.66329e-01 0.00000e+00 2.10541e-01 1.00000e+00 1.27205e+00 1.30667e+00 6.86104e+00
1.64931e+15 2.01796e+00 2.38897e+00 1.08491e+01 0.00000e+00 1.44768e+00 0.00000e+00 0.00000e+00    ---     7.01822e+00 7.01822e+00 4.88708e-01 4.88708e-01 4.88708e-01 0.00000e+00 2.06559e-01 1.00000e+00 1.27889e+00 1.33187e+00 6.99077e+00
1.72927e+15 2.05101e+00 2.43827e+00 1.07711e+01 0.00000e+00 1.47534e+00 0.00000e+00 0.00000e+00    ---     7.38816e+00 7.38816e+00 5.10661e-01 5.10661e-01 5.10661e-01 0.00000e+00 2.02688e-01 1.00000e+00 1.28500e+00 1.35731e+00 7.10516e+00
1.81311e+15 2.07983e+00 2.48187e+00 1.06905e+01 0.00000e+00 1.50247e+00 0.00000e+00 0.00000e+00    ---     7.72331e+00 7.72331e+00 5.32088e-01 5.32088e-01 5.32088e-01 0.00000e+00 1.98939e-01 1.00000e+00 1.29056e+00 1.38290e+00 7.20479e+00
1.90101e+15 2.10449e+00 2.51973e+00 1.06077e+01 0.00000e+00 1.52906e+00 0.00000e+00 0.00000e+00    ---     8.02426e+00 8.02426e+00 5.52877e-01 5.52877e-01 5.52877e-01 0.00000e+00 1.95318e-01 1.00000e+00 1.29577e+00 1.40852e+00 7.29012e+00
1.99317e+15 2.12527e+00 2.55203e+00 1.05234e+01 0.00000e+00 1.55506e+00 0.00000e+00 0.00000e+00    ---     8.29189e+00 8.29189e+00 5.72930e-01 5.72930e-01 5.72930e-01 0.00000e+00 1.91838e-01 1.00000e+00 1.30077e+00 1.43410e+00 7.36213e+00
2.08980e+15 2.14263e+00 2.57927e+00 1.04385e+01 0.00000e+00 1.58043e+00 0.00000e+00 0.00000e+00    ---     8.52981e+00 8.52981e+00 5.92182e-01 5.92182e-01 5.92182e-01 0.00000e+00 1.88508e-01 1.00000e+00 1.30559e+00 1.45941e+00 7.42176e+00
2.19112e+15 2.15599e+00 2.60047e+00 1.03520e+01 0.00000e+00 1.60530e+00 0.00000e+00 0.00000e+00    ---     8.73584e+00 8.73584e+00 6.10491e-01 6.10491e-01 6.10491e-01 0.00000e+00 1.85313e-01 1.00000e+00 1.31056e+00 1.48458e+00 7.46874e+00
2.29734e+15 2.16674e+00 2.61765e+00 1.02661e+01 0.00000e+00 1.62950e+00 0.00000e+00 0.00000e+00    ---     8.91626e+00 8.91626e+00 6.27935e-01 6.27935e-01 6.27935e-01 0.00000e+00 1.82272e-01 1.00000e+00 1.31549e+00 1.50938e+00 7.50594e+00
2.40872e+15 2.17471e+00 2.63050e+00 1.01804e+01 0.00000e+00 1.65312e+00 0.00000e+00 0.00000e+00    ---     9.07256e+00 9.07256e+00 6.44453e-01 6.44453e-01 6.44453e-01 0.00000e+00 1.79373e-01 1.00000e+00 1.32051e+00 1.53375e+00 7.53346e+00
2.52550e+15 2.18019e+00 2.63941e+00 1.00953e+01 0.00000e+00 1.67615e+00 0.00000e+00 0.00000e+00    ---     9.20645e+00 9.20645e+00 6.60024e-01 6.60024e-01 6.60024e-01 0.00000e+00 1.76616e-01 1.00000e+00 1.32569e+00 1.55767e+00 7.55232e+00
2.64794e+15 2.18344e+00 2.64475e+00 1.00111e+01 0.00000e+00 1.69859e+00 0.00000e+00 0.00000e+00    ---     9.31869e+00 9.31869e+00 6.74643e-01 6.74643e-01 6.74643e-01 0.00000e+00 1.73995e-01 1.00000e+00 1.33104e+00 1.58115e+00 7.56353e+00
2.77631e+15 2.18480e+00 2.64699e+00 9.92813e+00 0.00000e+00 1.72043e+00 0.00000e+00 0.00000e+00    ---     9.41268e+00 9.41268e+00 6.88317e-01 6.88317e-01 6.88317e-01 0.00000e+00 1.71510e-01 1.00000e+00 1.33657e+00 1.60408e+00 7.56796e+00
2.91091e+15 2.18403e+00 2.64574e+00 9.84605e+00 0.00000e+00 1.74172e+00 0.00000e+00 0.00000e+00    ---     9.48883e+00 9.48883e+00 7.00987e-01 7.00987e-01 7.00987e-01 0.00000e+00 1.69151e-01 1.00000e+00 1.34238e+00 1.62645e+00 7.56562e+00
3.05203e+15 2.18189e+00 2.64213e+00 9.76572e+00 0.00000e+00 1.76239e+00 0.00000e+00 0.00000e+00    ---     9.55018e+00 9.55018e+00 7.12736e-01 7.12736e-01 7.12736e-01 0.00000e+00 1.66919e-01 1.00000e+00 1.34835e+00 1.64818e+00 7.55804e+00
3.20000e+15 2.17852e+00 2.63636e+00 9.68721e+00 0.00000e+00 1.78244e+00 0.00000e+00 0.00000e+00    ---     9.59795e+00 9.59795e+00 7.23568e-01 7.23568e-01 7.23568e-01 0.00000e+00 1.64809e-01 1.00000e+00 1.35451e+00 1.66926e+00 7.54581e+00
