#-------------------------------------------------------------------------------
# N=1.00000e+00,  MDIVxSDIV=65x129,  accuracy=1e-05
#-------------------------------------------------------------------------------
#   rho_c        M         M_0         R         Omega      Omega_p       T/W            J          I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio   Omega_pa   Omega+   u_phi 
#-------------------------------------------------------------------------------
1.44400e-01 1.40014e-01 1.50616e-01 9.58308e-01 0.00000e+00 3.98925e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.88630e-01 1.88630e-01 1.88630e-01 0.00000e+00 8.12263e-01 1.00000e+00 3.98925e-01 3.98925e-01 4.88844e-01
1.30000e-01 1.40483e-01 1.50708e-01 1.01904e+00 1.29465e-01 3.63516e-01 1.95780e-02 5.70068e-03 4.40326e-02 0.00000e+00 0.00000e+00 1.88664e-01 3.75641e-01 6.54452e-03 3.98056e-01 8.71613e-01 9.19000e-01 3.63516e-01 3.63516e-01 4.75294e-01
1.18700e-01 1.40791e-01 1.50670e-01 1.07866e+00 1.65533e-01 3.36011e-01 3.64642e-02 7.98004e-03 4.82081e-02 0.00000e+00 0.00000e+00 1.88017e-01 4.39517e-01 -5.52948e-02 3.89494e-01 9.30188e-01 8.52000e-01 3.36011e-01 3.36011e-01 4.79292e-01
1.07400e-01 1.41151e-01 1.50652e-01 1.15536e+00 1.88761e-01 3.05620e-01 5.49888e-02 1.00941e-02 5.34753e-02 0.00000e+00 -2.68397e+03 1.86685e-01 4.90907e-01 -1.06572e-01 3.80013e-01 1.00583e+00 7.80000e-01 3.05620e-01 3.05620e-01 4.88013e-01
9.61000e-02 1.41554e-01 1.50629e-01 1.26400e+00 2.02877e-01 2.69475e-01 7.54597e-02 1.22467e-02 6.03652e-02 0.00000e+00 -2.97494e+03 1.84378e-01 5.36959e-01 -1.55286e-01 3.69301e-01 1.11355e+00 6.98000e-01 2.69475e-01 2.69475e-01 5.02426e-01
8.63000e-02 1.42037e-01 1.50695e-01 1.49281e+00 2.08505e-01 2.10622e-01 9.54545e-02 1.43217e-02 6.86876e-02 0.00000e+00 3.51601e-02 1.81343e-01 5.97540e-01 -2.22276e-01 3.58725e-01 1.34262e+00 5.75000e-01 2.10622e-01 2.10622e-01 5.30910e-01
