
-------------------------------------------------------------------------------
./eos/eosFPSfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
7.87287e+14 8.29165e-01 8.77040e-01 1.11337e+01 0.00000e+00 8.92672e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.32095e-01 1.32095e-01 1.32095e-01 0.00000e+00 2.69012e-01 1.00000e+00 8.92672e-01 8.92672e-01 3.05565e+00
8.28297e+14 8.87347e-01 9.43372e-01 1.11057e+01 0.00000e+00 9.26962e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.43894e-01 1.43894e-01 1.43894e-01 0.00000e+00 2.65744e-01 1.00000e+00 9.26962e-01 9.26962e-01 3.21523e+00
8.71444e+14 9.44714e-01 1.00915e+00 1.10813e+01 0.00000e+00 9.59606e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.55899e-01 1.55899e-01 1.55899e-01 0.00000e+00 2.62601e-01 1.00000e+00 9.59606e-01 9.59606e-01 3.37631e+00
9.16838e+14 1.00275e+00 1.07648e+00 1.10548e+01 0.00000e+00 9.92198e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.68531e-01 1.68531e-01 1.68531e-01 0.00000e+00 2.59353e-01 1.00000e+00 9.92198e-01 9.92198e-01 3.54368e+00
9.64597e+14 1.06071e+00 1.14445e+00 1.10257e+01 0.00000e+00 1.02450e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.81684e-01 1.81684e-01 1.81684e-01 0.00000e+00 2.56025e-01 1.00000e+00 1.02450e+00 1.02450e+00 3.71611e+00
1.01484e+15 1.11780e+00 1.21207e+00 1.09940e+01 0.00000e+00 1.05625e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.95229e-01 1.95229e-01 1.95229e-01 0.00000e+00 2.52647e-01 1.00000e+00 1.05625e+00 1.05625e+00 3.89221e+00
1.06771e+15 1.17397e+00 1.27945e+00 1.09570e+01 0.00000e+00 1.08792e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.09241e-01 2.09241e-01 2.09241e-01 0.00000e+00 2.49148e-01 1.00000e+00 1.08792e+00 1.08792e+00 4.07262e+00
1.12333e+15 1.23118e+00 1.34945e+00 1.09159e+01 0.00000e+00 1.12046e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.24250e-01 2.24250e-01 2.24250e-01 0.00000e+00 2.45461e-01 1.00000e+00 1.12046e+00 1.12046e+00 4.26567e+00
1.18184e+15 1.28693e+00 1.41884e+00 1.08687e+01 0.00000e+00 1.15308e+00 0.00000e+00 0.00000e+00    ---     -2.35100e+04 -2.35100e+04 2.39762e-01 2.39762e-01 2.39762e-01 0.00000e+00 2.41646e-01 1.00000e+00 2.20825e+00 -1.27259e-02 5.99496e+01
1.24340e+15 1.33965e+00 1.48502e+00 1.08181e+01 0.00000e+00 1.18477e+00 0.00000e+00 0.00000e+00    ---     -2.31157e+04 -2.31157e+04 2.55315e-01 2.55315e-01 2.55315e-01 0.00000e+00 2.37861e-01 1.00000e+00 2.19163e+00 -1.33076e-02 6.06721e+01
1.30817e+15 1.38898e+00 1.54727e+00 1.07641e+01 0.00000e+00 1.21547e+00 0.00000e+00 0.00000e+00    ---     -2.27276e+04 -2.27276e+04 2.70781e-01 2.70781e-01 2.70781e-01 0.00000e+00 2.34127e-01 1.00000e+00 2.17627e+00 -1.38886e-02 6.12798e+01
1.37632e+15 1.43540e+00 1.60638e+00 1.07059e+01 0.00000e+00 1.24568e+00 0.00000e+00 0.00000e+00    ---     2.00909e+00 2.00909e+00 2.86306e-01 2.86306e-01 2.86306e-01 0.00000e+00 2.30397e-01 1.00000e+00 1.23069e+00 1.19396e+00 4.97327e+00
1.44801e+15 1.47909e+00 1.66262e+00 1.06435e+01 0.00000e+00 1.27561e+00 0.00000e+00 0.00000e+00    ---     2.45677e+00 2.45677e+00 3.01939e-01 3.01939e-01 3.01939e-01 0.00000e+00 2.26658e-01 1.00000e+00 1.25285e+00 1.21370e+00 5.12452e+00
1.52344e+15 1.52007e+00 1.71604e+00 1.05768e+01 0.00000e+00 1.30538e+00 0.00000e+00 0.00000e+00    ---     2.88526e+00 2.88526e+00 3.17682e-01 3.17682e-01 3.17682e-01 0.00000e+00 2.22910e-01 1.00000e+00 1.27349e+00 1.23413e+00 5.26638e+00
