
-------------------------------------------------------------------------------
./eos/eosSlyfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
7.87287e+14 1.05855e+00 1.13557e+00 1.17904e+01 0.00000e+00 9.25530e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.66355e-01 1.66355e-01 1.66355e-01 0.00000e+00 2.77087e-01 1.00000e+00 9.25530e-01 9.25530e-01 3.74734e+00
8.28297e+14 1.12726e+00 1.21604e+00 1.17645e+01 0.00000e+00 9.58243e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.80751e-01 1.80751e-01 1.80751e-01 0.00000e+00 2.73378e-01 1.00000e+00 9.58243e-01 9.58243e-01 3.95139e+00
8.71444e+14 1.19642e+00 1.29809e+00 1.17358e+01 0.00000e+00 9.90822e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.95918e-01 1.95918e-01 1.95918e-01 0.00000e+00 2.69549e-01 1.00000e+00 9.90822e-01 9.90822e-01 4.16504e+00
9.16838e+14 1.26593e+00 1.38186e+00 1.17026e+01 0.00000e+00 1.02355e+00 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.11953e-01 2.11953e-01 2.11953e-01 0.00000e+00 2.65555e-01 1.00000e+00 1.02355e+00 1.02355e+00 4.39001e+00
9.64597e+14 1.33469e+00 1.46597e+00 1.16648e+01 0.00000e+00 1.05611e+00 0.00000e+00 0.00000e+00    ---     -2.54568e+04 -2.54568e+04 2.28698e-01 2.28698e-01 2.28698e-01 0.00000e+00 2.61443e-01 1.00000e+00 2.07566e+00 -1.15083e-02 6.35131e+01
1.01484e+15 1.40193e+00 1.54939e+00 1.16222e+01 0.00000e+00 1.08836e+00 0.00000e+00 0.00000e+00    ---     -2.50159e+04 -2.50159e+04 2.46041e-01 2.46041e-01 2.46041e-01 0.00000e+00 2.57242e-01 1.00000e+00 2.05488e+00 -1.20975e-02 6.45532e+01
1.06771e+15 1.46682e+00 1.63095e+00 1.15747e+01 0.00000e+00 1.12014e+00 0.00000e+00 0.00000e+00    ---     -2.45706e+04 -2.45706e+04 2.63832e-01 2.63832e-01 2.63832e-01 0.00000e+00 2.52987e-01 1.00000e+00 2.03481e+00 -1.27013e-02 6.54666e+01
1.12333e+15 1.52879e+00 1.70979e+00 1.15220e+01 0.00000e+00 1.15141e+00 0.00000e+00 0.00000e+00    ---     2.01925e+00 2.01925e+00 2.81958e-01 2.81958e-01 2.81958e-01 0.00000e+00 2.48700e-01 1.00000e+00 1.13925e+00 1.10612e+00 5.29680e+00
1.18184e+15 1.58772e+00 1.78573e+00 1.14641e+01 0.00000e+00 1.18229e+00 0.00000e+00 0.00000e+00    ---     2.59796e+00 2.59796e+00 3.00406e-01 3.00406e-01 3.00406e-01 0.00000e+00 2.44384e-01 1.00000e+00 1.16192e+00 1.12568e+00 5.50086e+00
1.24340e+15 1.64353e+00 1.85874e+00 1.14007e+01 0.00000e+00 1.21293e+00 0.00000e+00 0.00000e+00    ---     3.15494e+00 3.15494e+00 3.19184e-01 3.19184e-01 3.19184e-01 0.00000e+00 2.40035e-01 1.00000e+00 1.18249e+00 1.14608e+00 5.69415e+00
1.30817e+15 1.69590e+00 1.92827e+00 1.13321e+01 0.00000e+00 1.24330e+00 0.00000e+00 0.00000e+00    ---     3.68705e+00 3.68705e+00 3.38190e-01 3.38190e-01 3.38190e-01 0.00000e+00 2.35679e-01 1.00000e+00 1.20112e+00 1.16726e+00 5.87547e+00
1.37632e+15 1.74447e+00 1.99366e+00 1.12586e+01 0.00000e+00 1.27334e+00 0.00000e+00 0.00000e+00    ---     4.19048e+00 4.19048e+00 3.57296e-01 3.57296e-01 3.57296e-01 0.00000e+00 2.31341e-01 1.00000e+00 1.21800e+00 1.18914e+00 6.04368e+00
1.44801e+15 1.79073e+00 2.05669e+00 1.11851e+01 0.00000e+00 1.30256e+00 0.00000e+00 0.00000e+00    ---     4.66601e+00 4.66601e+00 3.76425e-01 3.76425e-01 3.76425e-01 0.00000e+00 2.27130e-01 1.00000e+00 1.23286e+00 1.21121e+00 6.20109e+00
1.52344e+15 1.82985e+00 2.11091e+00 1.10989e+01 0.00000e+00 1.33236e+00 0.00000e+00 0.00000e+00    ---     5.10495e+00 5.10495e+00 3.95439e-01 3.95439e-01 3.95439e-01 0.00000e+00 2.22804e-01 1.00000e+00 1.24732e+00 1.23473e+00 6.33935e+00
