#-------------------------------------------------------------------------------
# N=1.00000e+00,  MDIVxSDIV=65x129,  accuracy=1e-05
#-------------------------------------------------------------------------------
#   rho_c        M         M_0         R         Omega      Omega_p       T/W            J          I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio   Omega_pa   Omega+   u_phi 
#-------------------------------------------------------------------------------
9.54095e-03 2.19360e-02 2.21349e-02 1.22161e+00 0.00000e+00 1.09706e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.84547e-02 1.84547e-02 1.84547e-02 0.00000e+00 1.19957e+00 1.00000e+00 1.09706e-01 1.09706e-01 1.68314e-01
1.09854e-02 2.49261e-02 2.51842e-02 1.21681e+00 0.00000e+00 1.17638e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.11365e-02 2.11365e-02 2.11365e-02 0.00000e+00 1.19176e+00 1.00000e+00 1.17638e-01 1.17638e-01 1.79792e-01
1.26486e-02 2.82866e-02 2.86208e-02 1.21165e+00 0.00000e+00 1.26119e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.41962e-02 2.41962e-02 2.41962e-02 0.00000e+00 1.18320e+00 1.00000e+00 1.26119e-01 1.26119e-01 1.92001e-01
1.45635e-02 3.20354e-02 3.24668e-02 1.20581e+00 0.00000e+00 1.35194e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.76756e-02 2.76756e-02 2.76756e-02 0.00000e+00 1.17355e+00 1.00000e+00 1.35194e-01 1.35194e-01 2.04903e-01
1.67683e-02 3.61989e-02 3.67537e-02 1.19920e+00 0.00000e+00 1.44899e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.16251e-02 3.16251e-02 3.16251e-02 0.00000e+00 1.16272e+00 1.00000e+00 1.44899e-01 1.44899e-01 2.18507e-01
1.93070e-02 4.07997e-02 4.15102e-02 1.19176e+00 0.00000e+00 1.55275e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 3.60994e-02 3.60994e-02 3.60994e-02 0.00000e+00 1.15060e+00 1.00000e+00 1.55275e-01 1.55275e-01 2.32817e-01
2.22300e-02 4.58549e-02 4.67606e-02 1.18341e+00 0.00000e+00 1.66360e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.11562e-02 4.11562e-02 4.11562e-02 0.00000e+00 1.13709e+00 1.00000e+00 1.66360e-01 1.66360e-01 2.47830e-01
2.55955e-02 5.13738e-02 5.25223e-02 1.17405e+00 0.00000e+00 1.78195e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 4.68564e-02 4.68564e-02 4.68564e-02 0.00000e+00 1.12209e+00 1.00000e+00 1.78195e-01 1.78195e-01 2.63532e-01
2.94705e-02 5.73558e-02 5.88036e-02 1.16362e+00 0.00000e+00 1.90823e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 5.32628e-02 5.32628e-02 5.32628e-02 0.00000e+00 1.10552e+00 1.00000e+00 1.90823e-01 1.90823e-01 2.79900e-01
3.39322e-02 6.37882e-02 6.56015e-02 1.15203e+00 0.00000e+00 2.04284e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.04390e-02 6.04390e-02 6.04390e-02 0.00000e+00 1.08731e+00 1.00000e+00 2.04284e-01 2.04284e-01 2.96900e-01
3.90694e-02 7.06431e-02 7.28978e-02 1.13921e+00 0.00000e+00 2.18619e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 6.84472e-02 6.84472e-02 6.84472e-02 0.00000e+00 1.06740e+00 1.00000e+00 2.18619e-01 2.18619e-01 3.14482e-01
4.49843e-02 7.78755e-02 8.06572e-02 1.12510e+00 0.00000e+00 2.33869e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 7.73462e-02 7.73462e-02 7.73462e-02 0.00000e+00 1.04578e+00 1.00000e+00 2.33869e-01 2.33869e-01 3.32584e-01
5.17947e-02 8.54228e-02 8.88249e-02 1.10966e+00 0.00000e+00 2.50071e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 8.71888e-02 8.71888e-02 8.71888e-02 0.00000e+00 1.02245e+00 1.00000e+00 2.50071e-01 2.50071e-01 3.51130e-01
5.96362e-02 9.32036e-02 9.73257e-02 1.09286e+00 0.00000e+00 2.67259e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 9.80182e-02 9.80182e-02 9.80182e-02 0.00000e+00 9.97476e-01 1.00000e+00 2.67259e-01 2.67259e-01 3.70029e-01
6.86649e-02 1.01118e-01 1.06062e-01 1.07469e+00 0.00000e+00 2.85464e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.09865e-01 1.09865e-01 1.09865e-01 0.00000e+00 9.70938e-01 1.00000e+00 2.85464e-01 2.85464e-01 3.89173e-01
7.90604e-02 1.09049e-01 1.14914e-01 1.05517e+00 0.00000e+00 3.04711e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.22740e-01 1.22740e-01 1.22740e-01 0.00000e+00 9.42968e-01 1.00000e+00 3.04711e-01 3.04711e-01 4.08441e-01
9.10298e-02 1.16869e-01 1.23747e-01 1.03435e+00 0.00000e+00 3.25017e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.36636e-01 1.36636e-01 1.36636e-01 0.00000e+00 9.13750e-01 1.00000e+00 3.25017e-01 3.25017e-01 4.27702e-01
1.04811e-01 1.24441e-01 1.32409e-01 1.01232e+00 0.00000e+00 3.46393e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.51519e-01 1.51519e-01 1.51519e-01 0.00000e+00 8.83496e-01 1.00000e+00 3.46393e-01 3.46393e-01 4.46809e-01
1.20679e-01 1.31627e-01 1.40740e-01 9.89165e-01 0.00000e+00 3.68836e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.67325e-01 1.67325e-01 1.67325e-01 0.00000e+00 8.52459e-01 1.00000e+00 3.68836e-01 3.68836e-01 4.65609e-01
1.38950e-01 1.38298e-01 1.48581e-01 9.65040e-01 0.00000e+00 3.92332e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 1.83961e-01 1.83961e-01 1.83961e-01 0.00000e+00 8.20919e-01 1.00000e+00 3.92332e-01 3.92332e-01 4.83942e-01
1.59986e-01 1.44336e-01 1.55780e-01 9.40106e-01 0.00000e+00 4.16856e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.01300e-01 2.01300e-01 2.01300e-01 0.00000e+00 7.89174e-01 1.00000e+00 4.16856e-01 4.16856e-01 5.01647e-01
1.84207e-01 1.49638e-01 1.62195e-01 9.14540e-01 0.00000e+00 4.42366e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.19182e-01 2.19182e-01 2.19182e-01 0.00000e+00 7.57516e-01 1.00000e+00 4.42366e-01 4.42366e-01 5.18547e-01
2.12095e-01 1.54130e-01 1.67711e-01 8.88545e-01 0.00000e+00 4.68803e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 0.00000e+00 2.37418e-01 2.37418e-01 2.37418e-01 0.00000e+00 7.26241e-01 1.00000e+00 4.68803e-01 4.68803e-01 5.34472e-01
2.44205e-01 1.57762e-01 1.72238e-01 8.62326e-01 0.00000e+00 4.96091e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 -1.84201e+03 2.55794e-01 2.55794e-01 2.55794e-01 0.00000e+00 6.95622e-01 1.00000e+00 9.16779e-01 -5.57507e-03 7.13906e+00
2.81177e-01 1.60517e-01 1.75721e-01 8.36094e-01 0.00000e+00 5.24138e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 -1.76102e+03 2.74078e-01 2.74078e-01 2.74078e-01 0.00000e+00 6.65908e-01 1.00000e+00 9.32204e-01 -6.01063e-03 7.04397e+00
3.23746e-01 1.62400e-01 1.78135e-01 8.10049e-01 0.00000e+00 5.52833e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 1.64834e-01 2.92021e-01 2.92021e-01 2.92021e-01 0.00000e+00 6.37308e-01 1.00000e+00 5.45072e-01 5.28411e-01 5.62646e-01
3.72759e-01 1.63437e-01 1.79483e-01 7.84375e-01 0.00000e+00 5.82051e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 1.96746e-01 3.09373e-01 3.09373e-01 3.09373e-01 0.00000e+00 6.09994e-01 1.00000e+00 5.69907e-01 5.52066e-01 5.66238e-01
4.29193e-01 1.63689e-01 1.79814e-01 7.59265e-01 0.00000e+00 6.11636e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.23320e-01 3.25896e-01 3.25896e-01 3.25896e-01 0.00000e+00 5.84111e-01 1.00000e+00 5.94436e-01 5.76541e-01 5.67115e-01
4.94171e-01 1.63218e-01 1.79184e-01 7.34862e-01 0.00000e+00 6.41432e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.44878e-01 3.41358e-01 3.41358e-01 3.41358e-01 0.00000e+00 5.59747e-01 1.00000e+00 6.18689e-01 6.01637e-01 5.65484e-01
5.68987e-01 1.62109e-01 1.77687e-01 7.11315e-01 0.00000e+00 6.71251e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.61771e-01 3.55557e-01 3.55557e-01 3.55557e-01 0.00000e+00 5.36974e-01 1.00000e+00 6.42680e-01 6.27145e-01 5.61633e-01
6.55129e-01 1.60432e-01 1.75402e-01 6.88711e-01 0.00000e+00 7.00922e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.74293e-01 3.68312e-01 3.68312e-01 3.68312e-01 0.00000e+00 5.15803e-01 1.00000e+00 6.66448e-01 6.52893e-01 5.55834e-01
7.54312e-01 1.58293e-01 1.72463e-01 6.67178e-01 0.00000e+00 7.30208e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.82976e-01 3.79489e-01 3.79489e-01 3.79489e-01 0.00000e+00 4.96264e-01 1.00000e+00 6.89944e-01 6.78600e-01 5.48417e-01
8.68511e-01 1.55759e-01 1.68955e-01 6.46756e-01 0.00000e+00 7.58923e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.88222e-01 3.88976e-01 3.88976e-01 3.88976e-01 0.00000e+00 4.78315e-01 1.00000e+00 7.13167e-01 7.04051e-01 5.39640e-01
1.00000e+00 1.52910e-01 1.64987e-01 6.27492e-01 0.00000e+00 7.86856e-01 0.00000e+00 0.00000e+00    ---     0.00000e+00 2.90382e-01 3.96709e-01 3.96709e-01 3.96709e-01 0.00000e+00 4.61920e-01 1.00000e+00 7.36077e-01 7.29052e-01 5.29791e-01
