# Mer 27 Apr 2011 21:00:59 CEST
# R vs M for ./eos/eosFPS ./eos/eosSly ./eos/eosAPR ./eos/eosFPSfit ./eos/eosSlyfit ./eos/eosAPRfit
# data computed with RNS code
1.87359e+01 1.46736e-01	1.63280e+01 1.97300e-01	1.87373e+01 1.63175e-01	1.94339e+01 1.42094e-01	1.62270e+01 2.02492e-01	1.85049e+01 1.58096e-01
1.06519e+01 1.53844e+00	1.11660e+01 1.85086e+00	1.10961e+01 1.84228e+00	1.05768e+01 1.52007e+00	1.10989e+01 1.82985e+00	1.11275e+01 1.84127e+00
1.05794e+01 1.57367e+00	1.10793e+01 1.88575e+00	1.10362e+01 1.89525e+00	1.05060e+01 1.55828e+00	1.10135e+01 1.86664e+00	1.10620e+01 1.89159e+00
1.04989e+01 1.60460e+00	1.09896e+01 1.91683e+00	1.09716e+01 1.94308e+00	1.04355e+01 1.59507e+00	1.09250e+01 1.89935e+00	1.09983e+01 1.93984e+00
1.04200e+01 1.63504e+00	1.08974e+01 1.94413e+00	1.09025e+01 1.98567e+00	1.03586e+01 1.62805e+00	1.08340e+01 1.92818e+00	1.09241e+01 1.98049e+00
1.03376e+01 1.66285e+00	1.08031e+01 1.96783e+00	1.08295e+01 2.02372e+00	1.02732e+01 1.65580e+00	1.07410e+01 1.95328e+00	1.08491e+01 2.01796e+00
1.02523e+01 1.68789e+00	1.07073e+01 1.98805e+00	1.07536e+01 2.05703e+00	1.01902e+01 1.68213e+00	1.06463e+01 1.97483e+00	1.07711e+01 2.05101e+00
1.01645e+01 1.71014e+00	1.06105e+01 2.00503e+00	1.06751e+01 2.08584e+00	1.01112e+01 1.70776e+00	1.05507e+01 1.99310e+00	1.06905e+01 2.07983e+00
1.00750e+01 1.72964e+00	1.05128e+01 2.01891e+00	1.05943e+01 2.11046e+00	1.00189e+01 1.72553e+00	1.04543e+01 2.00816e+00	1.06077e+01 2.10449e+00
9.98403e+00 1.74651e+00	1.04149e+01 2.03001e+00	1.05126e+01 2.13131e+00	9.93109e+00 1.74292e+00	1.03575e+01 2.02017e+00	1.05234e+01 2.12527e+00
9.89223e+00 1.76088e+00	1.03169e+01 2.03834e+00	1.04288e+01 2.14800e+00	9.84238e+00 1.75772e+00	1.02608e+01 2.02948e+00	1.04385e+01 2.14263e+00
9.80011e+00 1.77264e+00	1.02195e+01 2.04436e+00	1.03449e+01 2.16170e+00	9.75542e+00 1.77120e+00	1.01645e+01 2.03623e+00	1.03520e+01 2.15599e+00
9.70781e+00 1.78214e+00	1.01229e+01 2.04817e+00	1.02611e+01 2.17230e+00	9.66318e+00 1.77995e+00	1.00691e+01 2.04073e+00	1.02661e+01 2.16674e+00
9.61559e+00 1.78950e+00	1.00266e+01 2.04952e+00	1.01773e+01 2.18017e+00	9.57332e+00 1.78771e+00	9.97420e+00 2.04277e+00	1.01804e+01 2.17471e+00
9.52381e+00 1.79492e+00	9.93192e+00 2.04928e+00	1.00940e+01 2.18552e+00	9.48365e+00 1.79343e+00	9.88157e+00 2.04361e+00	1.00953e+01 2.18019e+00
9.43263e+00 1.79851e+00	9.83863e+00 2.04737e+00	1.00111e+01 2.18868e+00	9.39457e+00 1.79737e+00	9.78872e+00 2.04164e+00	1.00111e+01 2.18344e+00
9.34199e+00 1.80026e+00	9.74691e+00 2.04396e+00	9.93026e+00 2.18985e+00	9.30585e+00 1.79943e+00	9.69960e+00 2.03952e+00	9.92813e+00 2.18480e+00
9.25258e+00 1.80058e+00	9.65685e+00 2.03916e+00	9.85001e+00 2.18924e+00	9.21810e+00 1.79997e+00	9.60947e+00 2.03424e+00	9.84605e+00 2.18403e+00
9.16431e+00 1.79950e+00	9.56871e+00 2.03321e+00	9.77058e+00 2.18674e+00	9.13107e+00 1.79887e+00	9.52260e+00 2.02865e+00	9.76572e+00 2.18189e+00
9.07698e+00 1.79682e+00	9.48256e+00 2.02626e+00	9.69307e+00 2.18318e+00	9.04613e+00 1.79705e+00	9.43763e+00 2.02196e+00	9.68721e+00 2.17852e+00
